Nome del film,,,Paese,,Budget (in euro),,,,,,,,,
Ne Zha 2,,,Cina,,68 milioni,,,,,,,,,
Zootopia 2,,,America,,127 milioni,,,,,,,,,
Avatar: Fire and Ash,,,America,,297 milioni,,,,,,,,,
Lilo & Stitch,,,America,,84 milioni,,,,,,,,,
A Minecraft Movie,,,America,,127 milioni,,,,,,,,,
Jurassic World: Rebirth,,,America,,170 milioni,,,,,,,,,
Demon Slayer,,,Giappone,,16 milioni,,,,,,,,,
How to Train Your Dragon,,,America,,127 milioni,,,,,,,,,
F1: The Movie,,,America,,212 milioni,,,,,,,,,
Superman,,,America,,190 milioni,,,,,,,,,
