,Asia,Asia,Asia,Asia,America,Europe,Europe,Europe
Nome film,China,Singapore,Japan,Malaysia,America,Italy,Spain,Germany
Ne Zha 2,"$2,209,602,296","$4,000,000",-,"$6,800,000","$23,308,176","$211,349","$220,721","$568,260"
Zootopia 2,"$631,202,959","$5,335,510","$90,031,044","$8,225,990","$409,081,674","$22,598,110","$22,079,307","$48,579,834"
Avatar: Fire and Ash,"$163,461,492","$4,967,584","$15,763,736","$9,922,085","$386,276,551","$30,118,882","$38,482,351","$88,158,157"
Lilo & Stitch,"$25,251,743","$2,177,670","$23,264,889","$2,959,748","$423,778,855","$25,634,430","$28,289,454","$36,494,349"
A Minecraft Movie,"$29,200,000",-,"$26,637,271",-,"$424,087,780","$13,581,984","$18,494,420","$40,086,292"
Jurassic World: Rebirth,"$79,042,593","$3,892,560","$33,095,050","$7,982,168","$339,640,400","$12,804,606","$21,946,019","$34,176,055"
Demon Slayer: Kimetsu no Yaiba Infinity Castle,"$49,900,000",-,"$251,336,143","$6,700,000","$134,519,077","$5,155,699","$7,513,042","$15,096,899"
How to Train Your Dragon,"$39,724,011","$2,201,952","$3,151,897","$3,653,658","$262,958,100","$10,653,223","$17,141,792","$17,434,324"
F1: The Movie,"$59,200,000",-,"$12,475,996",-,"$189,642,436","$6,441,296","$10,920,538","$17,232,551"
Superman,"$8,900,000",-,"$5,890,345",-,"$354,223,803","$6,529,835","$10,148,969","$6,530,295"
