Nome film,China,Singapore,Japan,Malaysia,America,Italy,Spain,Germany
Ne Zha 2,-,-,-,-,"$7,687,776","$206,173","$220,721","$568,260"
Zootopia 2,"$271,724,258","$1,132,113","$12,284,846","$2,076,245","$100,262,540","$5,873,867","$3,523,898","$7,746,548"
Avatar: Fire and Ash,"$57,527,285","$1,244,513","$3,049,266","$2,494,890","$89,160,860","$8,314,338","$7,309,172","$15,930,080"
Lilo & Stitch,"$8,662,679","$462,673","$4,006,388","$780,362","$146,016,175","$8,156,351","$6,514,768","$8,507,686"
A Minecraft Movie,"$14,500,000",-,"$4,137,588",-,"$162,753,003","$5,214,594","$5,612,133","$9,751,447"
Jurassic World: Rebirth,"$25,780,714","$1,235,396","$7,670,764","$2,853,091","$92,016,065","$3,973,848","$4,340,852","$7,064,312"
Demon Slayer: Kimetsu no Yaiba Infinity Castle,"$49,900,000",-,"$37,115,310","$3,300,000","$70,611,098","$3,104,668","$3,947,005","$8,397,050"
How to Train Your Dragon,"$11,090,905","$606,440","$1,023,434","$990,246","$84,633,315","$2,732,583","$3,322,739","$2,563,223"
F1: The Movie,"$9,000,000",-,"$2,893,435",-,"$57,001,667","$1,862,471","$2,193,564","$2,951,493"
Superman,-,-,"$2,519,293",-,"$125,021,735","$1,818,724","$2,888,630","$1,856,429"
